Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C8",0603,4,10u,
"C11, C12, C14, C24, C45, C61, C62",0603,7,1u,
"C13, C15, C17, C18, C19, C20, C23, C31, C38, C39, C41, C43, C5, C50, C9",0603,15,100n,
"C16, C59, C60",1206,3,100u,C7432784
C21,0603,1,10n,
"C22, C32, C33, C34",CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,4,HV1H227M1010PZ,C5246564
"C25, C40",0603,2,33n,
C26,0603,1,680n,
"C27, C35, C51, C52, C53, C54, C55, C56, C57, C58",0805,10,22u,C6119901
"C29, C30",0603,2,1uF,
"C3, C4, C6, C7",C0603,4,0603CG200F500NT,C165732
C36,0603,1,27p,
C37,0603,1,1.3n,
C42,0603,1,500p,
C46,0603,1,470n,
CN1,HDR-SMD_4P-P2.54-V-M-LS5.0,1,F136-1104S3CMUB2,C20071191
CSEN1,0603,1,10p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D19, D20, D21, D22, D23, D25, D26, D29, D3, D30, D33, D34, D37, D39, D4, D5, D7, D8, D9",X1-DFN1006-2_L1.0-W0.6-P0.65-BI,28,RCLAMP0521P-N,C316043
D40,TO-277_3P-L5.4-W4.0-LS6.5-BR,1,ST2045,C840773
D41,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-1,1,BAS20LT1G,C232529
"FB1, FB2",0603,2,FerriteBead,
"H10, H4, H5, H7",HDR-SMD_8P-P2.54-V-M-R2-C4-LS7.4,4,2.54-2*4P立贴针,C192300
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
L1,IND-SMD_3P-L27.9-W19.7-P10.43-LS27.9-BL-A,1,RSPQ2918-100M,C32712982
L2,IND-SMD_3P-L27.9-W19.7-P10.43-LS27.9-BL-A,1,FC-SE2918-220M,C2962789
"LED1, LED2, LED3",LED0603-RD_GREEN,3,XL-1608UGC-04,C965804
"P2, P3",CONN-TH_WJ126V-5.0-2P,2,WJ126V-5.0-2P,C8404
"Q1, Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,2N7002K_C414015,C414015
"Q2, Q4, Q5, Q6",TDSON-8_L5.9-W5.2-P1.27-BL,4,BSC0702LS-HXY,C20606289
R1,0603,1,500,
"R10, R9",0603,2,4.7k,
"R11, R12, R16, R17, R18, R26, R3",0603,7,15k,
R13,0603,1,1.5k,
"R14, R15",0603,2,5.1k,
R19,0603,1,50,
"R2, R27, R38, R39",0603,4,100,
R20,0603,1,866,
"R21, R6",0603,2,1k,
R22,0603,1,15.4k,
R23,0603,1,18.2k,
R24,0603,1,44.2k,
R25,0603,1,205k,
R28,R2512,1,FRM252WFR0025TN,C7420002
R29,0603,1,18.4k,
R30,0603,1,14.7k,
R31,0603,1,1.21k,
"R32, R33, R35",0603,3,102k,
R34,0603,1,11k,
R36,0603,1,69k,
R37,2512,1,28m,
"R4, R5, R8",0603,3,5k,
"R40, R42",0603,2,18k,
"R41, R43",0603,2,2k,
R7,0603,1,5.6k,
SW1,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,1,GT-TZ084B-H015-L1,C29780122
U1,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
"U10, U8",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,INA282AIDR,C53319
U11,HTSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL-EP,1,LM5116MHX,C13755
U14,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,MCP42010-I/SL,C481366
U2,SW-SMD_MSS12C02LS-HB2.0-1,1,MSS12C02LS-BB2.0,C3008585
U3,IND-SMD_L7.2-W6.6_GPSR07X0,1,CYA0650-68UH,C5189964
U4,SMA_L4.5-W2.6-LS5.2-RD,1,MBRA340T3G_C5563736,C5563736
U5,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,CJ431_C3113,C3113
U6,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,
U7,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U9,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,LM3481MMX/NOPB,C543002
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
